Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Field_Area_hectare,Previous_Irrigation_mm,Soil_Type,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Mulching_Used,Region
4.87,38.18,1.37,0.29,21.43,83.74,2082.14,7.09,16.51,3.53,114.18,Sandy,Cotton,Harvest,Zaid,Rainfed,Groundwater,No,East
5.89,49.28,1.39,3.11,22.91,44.62,1864.0,10.39,9.46,1.56,15.0,Loamy,Sugarcane,Harvest,Rabi,Sprinkler,Reservoir,Yes,West
6.44,50.75,1.16,0.24,39.88,68.89,1194.07,9.73,15.52,13.45,20.48,Sandy,Rice,Harvest,Zaid,Drip,Groundwater,Yes,East
4.84,49.17,0.85,2.26,20.94,55.12,2033.44,10.78,19.58,6.04,91.53,Silt,Sugarcane,Flowering,Rabi,Rainfed,Reservoir,No,South
5.82,44.72,0.41,0.81,41.49,41.3,2223.23,9.12,8.99,13.45,70.41,Sandy,Rice,Sowing,Zaid,Sprinkler,Groundwater,No,North
5.17,40.6,0.73,0.45,29.17,47.68,767.86,7.44,2.84,0.74,24.31,Silt,Maize,Vegetative,Rabi,Canal,Rainwater,Yes,East
7.9,54.88,1.41,3.12,12.03,38.49,968.72,6.57,19.01,3.1,112.45,Clay,Sugarcane,Harvest,Rabi,Sprinkler,Rainwater,No,East
7.39,36.33,0.38,2.93,18.2,46.23,2134.91,8.24,12.9,1.19,59.67,Loamy,Potato,Sowing,Zaid,Sprinkler,River,Yes,West
8.16,21.85,0.43,1.99,27.54,63.24,2175.0,10.84,13.25,5.85,103.75,Loamy,Sugarcane,Harvest,Kharif,Canal,River,No,Central
7.4,22.11,1.55,0.75,18.15,84.15,1814.94,7.94,6.22,9.93,26.12,Loamy,Potato,Sowing,Rabi,Canal,Reservoir,No,North
6.21,59.39,1.48,0.59,26.19,35.93,593.63,4.53,17.55,14.94,56.32,Clay,Rice,Sowing,Zaid,Drip,Reservoir,Yes,West
7.81,9.84,0.72,2.21,12.37,87.51,1041.33,10.04,11.83,10.48,21.43,Loamy,Potato,Sowing,Rabi,Drip,River,Yes,Central
5.27,59.59,0.36,2.04,13.34,31.83,731.0,8.65,0.97,14.58,68.61,Sandy,Maize,Flowering,Rabi,Rainfed,River,No,West
6.48,19.44,1.01,1.0,32.67,31.22,2458.27,8.8,10.27,13.12,36.19,Silt,Sugarcane,Harvest,Zaid,Sprinkler,River,Yes,West
5.37,58.28,0.42,2.05,38.72,84.4,1508.69,10.44,15.49,6.32,100.97,Clay,Potato,Sowing,Kharif,Drip,Reservoir,No,North
5.59,9.2,0.55,2.89,19.94,88.37,1696.17,7.2,16.02,7.46,74.35,Sandy,Potato,Sowing,Zaid,Sprinkler,River,Yes,South
4.83,40.1,1.58,1.81,40.89,61.63,1141.9,4.59,4.32,2.84,96.02,Silt,Potato,Vegetative,Rabi,Canal,River,Yes,Central
7.21,27.47,1.53,3.37,12.83,37.72,1912.99,10.22,18.64,5.5,64.21,Silt,Cotton,Harvest,Zaid,Sprinkler,Groundwater,No,Central
5.73,62.39,1.42,1.2,35.17,27.15,2476.41,4.47,0.61,6.18,11.04,Silt,Potato,Vegetative,Kharif,Sprinkler,Rainwater,Yes,East
5.16,35.55,1.26,0.18,32.32,33.11,1656.35,8.69,10.01,11.72,43.16,Sandy,Sugarcane,Harvest,Kharif,Drip,Reservoir,No,East
7.82,64.81,0.75,0.69,19.47,80.78,853.76,8.04,15.78,8.32,111.49,Loamy,Maize,Vegetative,Zaid,Canal,Reservoir,Yes,North
5.85,27.0,0.38,2.35,34.29,28.42,1835.41,7.57,9.35,2.57,18.51,Silt,Wheat,Harvest,Rabi,Rainfed,Reservoir,No,South
7.05,59.49,1.07,2.02,39.84,55.12,1239.63,4.17,10.24,4.93,114.17,Loamy,Wheat,Sowing,Kharif,Rainfed,Reservoir,Yes,North
6.12,19.43,1.23,0.51,27.45,81.87,1415.13,10.58,11.57,3.83,110.67,Loamy,Cotton,Harvest,Kharif,Canal,Groundwater,No,West
7.75,14.13,0.66,0.55,30.31,48.21,871.34,6.09,6.67,10.48,74.33,Loamy,Maize,Flowering,Rabi,Sprinkler,Rainwater,No,Central
8.02,33.98,0.66,1.67,37.89,72.54,2471.26,5.85,18.05,6.54,35.49,Loamy,Maize,Harvest,Zaid,Canal,Groundwater,No,North
6.01,58.28,1.05,2.23,14.41,86.29,758.68,9.54,8.78,10.38,76.19,Silt,Wheat,Harvest,Zaid,Sprinkler,Reservoir,Yes,East
6.08,40.82,0.64,2.19,40.82,27.77,1526.88,6.39,5.38,14.99,17.35,Clay,Cotton,Harvest,Rabi,Canal,Rainwater,Yes,West
5.19,50.88,0.66,2.94,30.63,71.29,2496.5,5.5,7.6,10.67,81.16,Clay,Maize,Flowering,Rabi,Rainfed,Rainwater,Yes,Central
6.88,38.96,1.49,3.31,14.75,56.64,1711.8,10.76,4.13,1.34,118.38,Loamy,Rice,Sowing,Zaid,Canal,Rainwater,No,West
6.4,63.46,0.33,3.18,26.66,70.25,990.27,9.49,2.11,1.06,31.31,Loamy,Potato,Harvest,Kharif,Canal,River,No,South
5.92,31.86,0.64,1.71,15.17,73.03,2357.98,7.87,16.03,13.72,7.38,Loamy,Potato,Harvest,Rabi,Canal,River,No,East
5.66,21.26,0.58,3.42,14.44,42.75,2106.01,5.67,18.16,2.76,49.93,Clay,Wheat,Vegetative,Kharif,Rainfed,Reservoir,No,South
7.14,63.35,1.47,1.19,36.51,94.04,1138.29,4.54,11.57,8.58,79.52,Sandy,Maize,Sowing,Zaid,Rainfed,River,No,North
